mac_known,role,login_hour,failed_attempts,login_frequency,access_decision
1,Guest,19,4,2,Blocked
1,Student,1,3,3,Blocked
1,Faculty,20,7,3,Blocked
0,Student,16,5,1,Blocked
0,Guest,2,6,8,Blocked
1,Guest,21,7,9,Blocked
0,Faculty,21,5,2,Blocked
0,Guest,8,6,8,Blocked
1,Faculty,9,2,7,Restricted
1,Faculty,1,3,4,Blocked
1,Student,21,5,6,Blocked
1,Student,23,3,1,Blocked
0,Faculty,11,1,2,Blocked
1,Guest,21,0,6,Allowed
1,Guest,1,4,4,Blocked
0,Student,17,2,3,Blocked
0,Faculty,12,3,5,Blocked
1,Faculty,3,0,7,Restricted
1,Guest,2,2,1,Blocked
1,Guest,1,7,9,Blocked
0,Student,9,1,2,Blocked
1,Student,22,0,5,Restricted
1,Faculty,15,0,7,Allowed
0,Guest,22,2,4,Blocked
0,Guest,8,1,3,Blocked
0,Student,3,1,5,Blocked
0,Faculty,8,3,7,Blocked
0,Guest,12,1,8,Blocked
0,Guest,6,6,6,Blocked
0,Faculty,20,7,8,Blocked
0,Student,16,1,7,Blocked
0,Student,19,6,4,Blocked
0,Faculty,8,7,1,Blocked
1,Faculty,9,1,6,Allowed
1,Guest,15,4,9,Blocked
1,Faculty,15,2,1,Restricted
0,Student,19,3,3,Blocked
0,Faculty,9,4,9,Blocked
1,Faculty,3,1,3,Allowed
1,Student,11,1,3,Allowed
0,Faculty,0,4,2,Blocked
1,Student,13,1,9,Allowed
1,Student,14,7,2,Blocked
0,Student,12,6,3,Blocked
0,Faculty,0,2,3,Blocked
0,Faculty,20,4,7,Blocked
1,Student,21,2,2,Restricted
1,Student,3,6,6,Blocked
1,Faculty,7,5,3,Blocked
0,Faculty,13,1,9,Blocked
0,Student,11,7,5,Blocked
0,Guest,17,2,3,Blocked
0,Guest,7,4,6,Blocked
0,Faculty,22,4,3,Blocked
0,Student,3,4,1,Blocked
1,Guest,21,1,9,Allowed
0,Student,19,6,7,Blocked
1,Student,19,2,7,Restricted
0,Student,9,4,6,Blocked
1,Student,5,6,8,Blocked
0,Faculty,21,5,6,Blocked
1,Faculty,17,2,9,Restricted
1,Guest,13,4,10,Blocked
1,Guest,2,7,5,Blocked
0,Faculty,2,6,1,Blocked
0,Student,12,1,6,Blocked
0,Student,7,7,4,Blocked
1,Student,17,3,9,Blocked
1,Faculty,12,5,2,Blocked
1,Student,14,0,6,Allowed
0,Guest,14,3,9,Blocked
0,Guest,13,2,4,Blocked
1,Faculty,15,4,2,Blocked
0,Student,14,3,5,Blocked
0,Faculty,21,1,9,Blocked
1,Faculty,16,2,3,Restricted
1,Guest,15,0,7,Allowed
1,Student,5,6,4,Blocked
1,Student,7,3,8,Blocked
0,Faculty,16,4,9,Blocked
1,Student,22,3,3,Blocked
1,Student,10,2,7,Restricted
0,Student,22,2,7,Blocked
0,Faculty,10,2,7,Blocked
1,Guest,4,7,6,Blocked
1,Student,7,4,8,Blocked
0,Guest,17,1,9,Blocked
0,Guest,22,6,3,Blocked
0,Faculty,16,0,2,Blocked
0,Student,19,5,7,Blocked
1,Faculty,14,5,1,Blocked
0,Student,17,4,10,Blocked
1,Guest,17,3,4,Blocked
1,Faculty,10,6,6,Blocked
1,Faculty,21,2,5,Restricted
1,Faculty,14,0,5,Allowed
0,Student,2,4,2,Blocked
1,Faculty,6,7,1,Blocked
0,Guest,1,1,4,Blocked
0,Guest,10,6,10,Blocked
0,Faculty,4,5,3,Blocked
1,Faculty,17,0,3,Allowed
0,Faculty,0,4,2,Blocked
1,Guest,9,5,3,Blocked
1,Faculty,8,4,10,Blocked
0,Student,8,6,3,Blocked
0,Guest,20,5,6,Blocked
1,Student,3,0,6,Restricted
1,Student,19,2,4,Restricted
1,Student,18,0,1,Allowed
0,Guest,20,0,5,Blocked
0,Faculty,11,7,2,Blocked
0,Guest,7,3,7,Blocked
0,Guest,11,3,9,Blocked
0,Faculty,13,6,7,Blocked
1,Faculty,5,7,8,Blocked
0,Faculty,12,3,3,Blocked
0,Guest,23,5,2,Blocked
0,Faculty,14,2,1,Blocked
0,Faculty,10,3,5,Blocked
1,Faculty,16,6,7,Blocked
0,Faculty,2,7,2,Blocked
0,Faculty,9,6,1,Blocked
0,Guest,12,7,1,Blocked
0,Faculty,5,3,9,Blocked
0,Guest,15,2,4,Blocked
0,Student,8,0,4,Blocked
0,Student,10,0,6,Blocked
1,Faculty,11,2,2,Restricted
0,Faculty,10,0,4,Blocked
0,Faculty,18,5,9,Blocked
1,Student,23,3,9,Blocked
0,Guest,5,1,10,Blocked
1,Faculty,8,0,2,Allowed
1,Faculty,19,1,6,Allowed
0,Faculty,16,5,1,Blocked
0,Student,12,1,5,Blocked
0,Student,19,5,3,Blocked
1,Guest,12,6,2,Blocked
0,Student,21,4,5,Blocked
1,Faculty,12,2,6,Restricted
1,Guest,3,2,10,Blocked
1,Student,20,3,8,Blocked
1,Guest,15,2,1,Restricted
0,Student,12,3,4,Blocked
0,Faculty,7,1,1,Blocked
0,Student,11,2,8,Blocked
1,Student,7,2,2,Restricted
0,Student,17,3,6,Blocked
1,Faculty,23,6,4,Blocked
0,Student,8,1,10,Blocked
1,Student,8,6,5,Blocked
1,Student,14,0,4,Allowed
0,Guest,6,5,1,Blocked
1,Faculty,19,4,2,Blocked
0,Student,7,3,9,Blocked
0,Student,23,3,4,Blocked
0,Faculty,8,0,3,Blocked
0,Guest,18,0,7,Blocked
0,Guest,6,5,1,Blocked
1,Faculty,19,4,8,Blocked
1,Student,10,7,3,Blocked
1,Faculty,21,7,7,Blocked
1,Student,0,1,9,Allowed
0,Faculty,1,2,7,Blocked
1,Faculty,23,3,4,Blocked
1,Guest,11,3,5,Blocked
1,Guest,3,0,6,Allowed
0,Faculty,18,7,5,Blocked
1,Student,5,5,2,Blocked
1,Faculty,13,1,4,Allowed
1,Student,21,2,9,Restricted
1,Student,10,1,1,Allowed
0,Guest,22,4,5,Blocked
1,Student,13,2,9,Restricted
0,Faculty,2,5,7,Blocked
0,Guest,16,3,3,Blocked
1,Faculty,23,3,2,Blocked
0,Guest,23,2,1,Blocked
1,Faculty,1,5,9,Blocked
1,Guest,16,4,5,Blocked
0,Faculty,21,7,2,Blocked
1,Faculty,1,6,3,Blocked
1,Faculty,22,1,8,Allowed
1,Faculty,9,3,10,Blocked
0,Student,9,0,2,Blocked
1,Student,12,7,9,Blocked
1,Faculty,6,4,8,Blocked
0,Faculty,1,2,9,Blocked
1,Faculty,14,7,10,Blocked
1,Faculty,2,6,5,Blocked
0,Faculty,21,3,6,Blocked
1,Faculty,8,1,5,Allowed
0,Faculty,2,0,3,Blocked
0,Faculty,4,5,7,Blocked
0,Guest,21,5,7,Blocked
0,Guest,20,4,2,Blocked
0,Student,22,5,9,Blocked
1,Student,3,0,9,Restricted
1,Guest,19,3,8,Blocked
0,Faculty,22,7,7,Blocked
0,Student,22,1,6,Blocked
1,Student,21,4,3,Blocked
1,Faculty,9,7,7,Blocked
1,Guest,20,1,2,Allowed
1,Student,3,2,2,Blocked
1,Guest,14,6,10,Blocked
1,Faculty,7,4,7,Blocked
0,Guest,21,5,2,Blocked
0,Faculty,19,7,8,Blocked
0,Guest,7,0,2,Blocked
1,Faculty,4,5,1,Blocked
0,Faculty,14,5,6,Blocked
0,Guest,6,7,3,Blocked
0,Faculty,18,4,7,Blocked
1,Student,3,5,4,Blocked
1,Guest,10,0,9,Allowed
1,Guest,6,2,8,Restricted
0,Guest,18,0,1,Blocked
0,Guest,19,2,4,Blocked
1,Faculty,8,3,2,Blocked
1,Faculty,2,7,5,Blocked
0,Student,20,2,7,Blocked
0,Guest,1,6,10,Blocked
0,Faculty,2,6,2,Blocked
0,Student,4,7,10,Blocked
0,Student,9,4,2,Blocked
1,Student,14,0,1,Allowed
1,Faculty,8,1,6,Allowed
0,Guest,9,0,9,Blocked
0,Faculty,8,0,5,Blocked
0,Student,7,4,8,Blocked
0,Guest,3,3,9,Blocked
0,Faculty,10,4,1,Blocked
0,Guest,20,1,3,Blocked
1,Guest,14,5,7,Blocked
1,Student,13,0,2,Allowed
1,Guest,7,1,3,Allowed
0,Student,15,5,2,Blocked
1,Student,21,6,1,Blocked
0,Faculty,6,1,2,Blocked
0,Student,1,7,2,Blocked
1,Faculty,17,2,3,Restricted
0,Guest,5,2,5,Blocked
0,Student,0,6,7,Blocked
0,Faculty,12,5,4,Blocked
1,Student,9,5,1,Blocked
0,Guest,19,7,2,Blocked
1,Student,3,2,8,Blocked
0,Student,13,5,8,Blocked
0,Guest,17,2,4,Blocked
0,Faculty,18,1,4,Blocked
1,Faculty,11,3,4,Blocked
1,Faculty,2,1,8,Allowed
1,Student,0,4,1,Blocked
1,Guest,1,0,2,Allowed
1,Guest,13,0,4,Allowed
0,Student,0,6,6,Blocked
0,Faculty,18,3,1,Blocked
1,Student,18,0,4,Allowed
1,Guest,6,4,1,Blocked
1,Faculty,13,2,6,Restricted
0,Student,6,3,2,Blocked
0,Student,6,7,7,Blocked
1,Faculty,12,2,3,Restricted
0,Guest,23,4,6,Blocked
0,Faculty,5,0,2,Blocked
0,Faculty,9,7,2,Blocked
