device_known,login_hour,failed_attempts,ip_change,browser_change,login_frequency,label
1,0,2,0,0,4,Restricted
1,17,0,0,0,7,Allowed
1,19,0,0,0,18,Allowed
1,14,1,1,0,6,Restricted
1,10,0,0,0,4,Allowed
0,3,0,0,0,2,Blocked
1,17,0,1,0,10,Allowed
1,19,3,0,0,3,Blocked
0,7,2,1,1,4,Blocked
1,14,1,0,0,7,Allowed
1,22,4,0,0,6,Blocked
1,7,0,0,1,18,Allowed
1,10,3,1,0,2,Blocked
1,12,0,0,1,11,Allowed
1,15,0,1,0,9,Allowed
0,23,1,0,0,19,Blocked
1,7,7,0,0,2,Blocked
1,4,1,1,0,3,Restricted
1,19,7,0,1,1,Blocked
1,3,2,0,0,11,Blocked
0,13,0,0,0,9,Blocked
1,5,1,0,0,17,Restricted
1,4,0,0,1,17,Allowed
1,19,0,0,1,10,Allowed
1,7,3,1,0,16,Blocked
1,17,2,0,0,18,Restricted
0,16,3,0,0,18,Blocked
1,22,0,0,1,12,Allowed
1,16,1,0,0,1,Allowed
1,7,1,0,0,2,Allowed
1,1,3,0,0,16,Blocked
1,4,2,1,0,8,Blocked
1,13,0,0,0,14,Allowed
1,23,0,0,0,2,Allowed
1,10,3,0,0,18,Blocked
1,13,0,0,1,3,Allowed
1,17,0,0,0,1,Allowed
1,7,0,0,0,13,Allowed
1,5,0,1,0,15,Allowed
1,22,5,1,0,16,Blocked
0,9,0,0,0,2,Blocked
1,1,0,0,1,17,Allowed
0,16,0,0,0,8,Blocked
1,18,0,0,0,14,Allowed
1,18,1,1,0,11,Restricted
1,12,0,0,0,3,Allowed
0,19,7,1,0,7,Blocked
1,4,4,1,1,12,Blocked
1,14,3,0,0,17,Blocked
0,17,0,0,1,5,Blocked
1,3,2,0,0,7,Blocked
1,6,2,1,0,9,Restricted
1,1,0,0,0,1,Allowed
1,4,1,0,0,18,Restricted
1,17,0,0,1,5,Allowed
1,11,1,0,0,10,Allowed
1,1,3,0,0,4,Blocked
1,17,3,0,0,5,Blocked
1,7,3,1,1,14,Blocked
0,23,4,1,0,8,Blocked
1,22,0,1,1,8,Allowed
0,14,0,1,1,8,Blocked
0,6,0,0,0,9,Blocked
1,16,0,1,0,1,Allowed
0,8,0,1,0,4,Blocked
1,11,2,0,0,17,Restricted
0,18,0,0,0,17,Blocked
1,17,2,1,0,7,Restricted
1,2,4,1,0,4,Blocked
1,9,1,0,0,10,Allowed
1,6,1,1,0,6,Restricted
1,9,1,1,0,7,Restricted
1,18,1,0,0,7,Allowed
1,23,0,0,0,20,Allowed
1,7,2,0,0,1,Restricted
0,15,1,1,0,19,Blocked
0,22,0,0,0,1,Blocked
1,3,2,0,1,17,Blocked
1,17,0,1,0,15,Allowed
1,17,1,1,1,20,Blocked
1,16,1,1,0,6,Restricted
1,15,1,1,1,9,Blocked
1,16,1,0,0,10,Allowed
1,10,0,0,0,8,Allowed
1,4,2,0,0,18,Blocked
1,1,0,0,1,19,Allowed
1,0,3,1,0,1,Blocked
1,9,2,1,1,14,Blocked
1,23,1,0,0,8,Restricted
1,15,0,0,0,13,Allowed
1,14,4,1,0,13,Blocked
1,21,0,0,0,15,Allowed
0,8,0,0,0,13,Blocked
1,13,0,0,0,18,Allowed
0,11,0,0,1,2,Blocked
1,7,0,0,0,5,Allowed
1,3,1,0,0,12,Restricted
0,19,5,0,0,6,Blocked
1,3,1,1,0,13,Restricted
1,22,0,0,1,8,Allowed
0,9,3,0,0,19,Blocked
1,11,1,0,0,11,Allowed
0,13,3,0,1,15,Blocked
1,13,0,0,0,20,Allowed
1,17,2,0,1,19,Restricted
1,7,3,0,1,8,Blocked
1,18,1,0,0,11,Allowed
0,6,0,0,0,20,Blocked
1,8,1,0,0,8,Allowed
1,15,1,0,0,16,Restricted
1,0,0,0,0,10,Allowed
